Domain,A Records,MX Records,WHOIS Info
natixis.co.ke,203.27.227.220,N/A,RDAP Source: https://rdap.org/domain/natixis.co.ke | Registration: 2006-10-18T00:00:00Z | Reregistration: 2025-09-11T15:08:03Z | Transfer: 2017-08-03T07:15:57Z | Expiration: 2026-10-18T21:00:00Z | Last changed: 2025-09-11T12:08:03Z | Last update of rdap database: 2026-03-07T08:24:08Z | Registrar: Nairobinet Online Ltd | Status: active
natixis.co.nz,203.27.227.220,N/A,N/A
natixis.co.th,N/A,N/A,"RDAP Source: https://rdap.org/domain/natixis.co.th | Registration: 2007-04-19T18:04:11.000Z | Expiration: 2026-04-18T18:04:13.000Z | Last changed: 2025-03-11T17:42:09.000Z | Last update of rdap database: 2026-03-07T08:24:50.000Z | Registrar: T.H.NIC Co., Ltd. | Status: active"
natixis.co.uk,"165.160.15.20, 165.160.13.20",N/A,"RDAP Source: https://rdap.org/domain/natixis.co.uk | Registration: 2006-03-29T14:57:52Z | Last changed: 2025-03-25T05:35:45.067988Z | Expiration: 2026-03-29T14:57:52Z | Last update of rdap database: 2026-03-07T08:24:50.91Z | Registrar: CSC Corporate Domains, Inc | Status: active"
natixis.co.za,"165.160.13.20, 165.160.15.20",20 mail.ovation.co.za.,N/A
natixis.codespot.com,"64.233.187.82, 108.177.97.82",N/A,N/A
natixis.com,185.148.120.171,0 mail-in.protection.bpce-it.fr.,"RDAP Source: https://rdap.org/domain/natixis.com | Registration: 2005-02-03T14:11:34Z | Expiration: 2027-02-03T14:11:34Z | Last changed: 2026-02-23T19:14:49Z | Last update of rdap database: 2026-03-07T08:25:31Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited, server delete prohibited, server transfer prohibited, server update prohibited"
natixis.com.af,"165.160.13.20, 165.160.15.20",N/A,N/A
natixis.com.ag,"165.160.13.20, 165.160.15.20",N/A,N/A
natixis.com.ai,"165.160.15.20, 165.160.13.20",N/A,"RDAP Source: https://rdap.org/domain/natixis.com.ai | Expiration: 2026-11-07T22:02:18Z | Registration: 2017-12-15T22:02:18Z | Last changed: 2024-10-31T05:04:15Z | Last update of rdap database: 2026-03-07T08:28:15.925Z | Registrar: CSC Corporate Domains, Inc. | Status: client delete prohibited, client transfer prohibited, client update prohibited"
natixis.com.amsterdam,"13.248.169.48, 76.223.54.146",N/A,N/A
natixis.com.ar,"165.160.15.20, 165.160.13.20",N/A,N/A
